Name,"StatisticalYear","Asian/PacificIslanders","Black/AfricanAmerican","Native American/American Indian",Hispanic,White,Other,Reporting,"TotalAdherents"
Assemblies of God,2021,"148,448","306,051","44,727","661,305","1,632,478","139,457","2,932,466","2,932,466"
Anglican Church of Canada,2019,-,-,-,-,-,-,-,"333,894"
Baha'I Faith in the United States,2019,"4,635","6,213","2 ,008","4,884","50,013","114,562","182,315","176,710"
Christian Church (Disciples of Christ),2018,-,-,-,-,-,-,-,"382,248"
The Church of Jesus Christ of Latter-day Saints,2018,-,-,-,-,-,-,-,"6,681,829"
Church of the Brethren,2019,-,-,-,-,-,"104,446","104,446","98,680"
Church of the Nazarene,2021,"7,330","28,226","1 ,345","35,340","349,779","11,760","433,780","433,780"
Churches of Christ,2021,-,-,-,-,-,-,-,"1,424,918"
The Episcopal Church,2020,-,-,-,-,-,-,-,"1,736,282"
Evangelical Lutheran Church in America,2020,"14,156","25,182","4 ,398","28,054","1,645,617","37,041","1,754,448","3,142,777"
The Lutheran Church--Missouri Synod,2021,-,-,-,-,-,-,-,"1,770,655"
Presbyterian Church (U.S.A),2021,"35,273","42,700","2 ,763","15,621","856,296","18,992","971,645","1,193,770"
Roman Catholic Church,2020,"2,232,753","1,894,457","608,933","23,004,122","39,918,918",-,"67,659,183","67,659,183"
Seventh-day Adventist Church,2021,-,-,-,-,-,-,-,"1,187,821"
Southern Baptist Convention,2021,-,-,-,-,-,-,-,"13,680,493"
The United Church of Canada,2020,-,-,-,-,-,-,-,"359,740"
United Church of Christ,2020,-,-,-,-,-,-,-,"773,539"
The United Methodist Church,2018,"91,588","416,855","20,885","80,967","5,967,354","94,167","6,671,816","8,643,570"
Totals,,"2,534,183","2,719,684","685,059","23,830,293","50,420,455","520,425","80,710,099","112,612,355"
